Lab_ID,Sample_ID,Site,System_ID,SYSTEM,DEPT,depth_cm,Soil_classification,Soil_classification2,Corg_clay_ratio,CLAY_percent,SILT_percent,SAND_percent,pH,EC,Canorg,Corg,Ntot,Corg_stocks_kg_m2,Ntot_stocks_kg_m2,soilCN_ratio,DOC,DOC_stocks_g_m2,DOC_Corg_ratio,Agg,CEC,Al_Dithionite,Mn_Dithionite,Fe_Dithionite,Al_Oxalate,Mn_Oxalate,Fe_Oxalate,Oxalate_Oxides,Dithionite_Oxides,bulk_density,Fe_Di_div_Fe_Ox,Corg_stocks_kg_m2_cm,Ntot_stocks_kg_m2_cm,DOC_stocks_g_m2_cm,Log_Corg_stocks_kg_m2,Log_DOC_stocks_g_m2,Log_Ntot_stocks_kg_m2,Log_Corg_clay_ratio,Log_EC,Log_Agg,Soil_classification_num,Log_Corg_stocks_kg_m2_cm,Log_Ntot_stocks_kg_m2_cm,Log_DOC_stocks_g_m2_cm
1032,Burg2_P_3 pool,Burg2,Pioneer,0,3,15.00,Moderate,Coarse,0.097966,14.699,25.472,59.829,7.201,73.400,0.000,1.440,0.083,2.873,0.166,17.35,139.532,27.837,0.009690,0.311,109.580,329.341,264.596,5026.814,598.604,329.110,2789.121,3387.725,5356.155,1.330,1.802,0.192,0.011,1.856,0.458,1.445,-0.780,-1.009,1.866,-0.507,1.00,-0.72,-1.96,0.27
1041,Eis_P_3 pool,Eis,Pioneer,0,3,15.00,Moderate,Coarse,0.207596,14.981,26.346,58.673,6.422,67.900,0.000,3.110,0.212,5.411,0.369,14.67,346.898,60.360,0.011150,0.856,76.521,1803.181,437.362,7506.884,3802.096,546.156,5385.954,9188.050,9310.065,1.160,1.394,0.361,0.025,4.024,0.733,1.781,-0.433,-0.683,1.832,-0.068,1.00,-0.44,-1.61,0.60
1068,Lack1_P_3 pool,Lack1,Pioneer,0,3,15.00,Moderate,Coarse,0.088009,9.999,27.765,62.236,7.141,52.500,0.000,0.880,0.050,1.874,0.107,17.60,308.621,65.736,0.035070,0.492,61.342,461.471,431.393,3492.472,770.890,576.382,1676.939,2447.829,3953.943,1.420,2.083,0.125,0.007,4.382,0.273,1.818,-0.971,-1.055,1.720,-0.308,1.00,-0.90,-2.15,0.64
1167,Ther_P_3 pool,Ther,Pioneer,0,3,15.00,Moderate,Coarse,0.271429,15.621,23.014,61.365,7.721,139.100,6.504,4.240,0.450,8.650,0.918,9.42,329.050,67.126,0.007760,0.774,289.536,604.824,358.683,6504.360,2632.524,163.869,1480.807,4113.331,7109.184,1.360,4.392,0.577,0.061,4.475,0.937,1.827,-0.037,-0.566,2.143,-0.111,1.00,-0.24,-1.21,0.65
996,Abs_P_3 pool,Abs,Pioneer,0,3,15.00,Fine,Fine,0.057869,51.841,36.933,11.226,7.865,125.800,1.262,3.000,0.194,5.445,0.352,15.46,136.578,24.789,0.004550,0.796,330.934,793.552,453.646,10844.805,1883.731,490.408,2095.763,3979.494,11638.357,1.210,5.175,0.363,0.024,1.653,0.736,1.394,-0.453,-1.238,2.100,-0.099,3.00,-0.44,-1.63,0.22
1005,Au1_P_3 pool,Au1,Pioneer,0,3,15.00,Moderate,Fine,0.086415,31.013,26.047,42.940,7.911,131.800,3.603,2.680,0.222,5.186,0.430,12.07,238.959,46.238,0.008920,0.630,284.653,359.186,216.185,3202.695,1101.959,259.880,1338.673,2440.632,3561.881,1.290,2.392,0.346,0.029,3.083,0.715,1.665,-0.367,-1.063,2.120,-0.201,3.00,-0.46,-1.54,0.49
1086,Man1_P_3 pool,Man1,Pioneer,0,3,15.00,Moderate,Fine,0.080170,20.207,27.647,52.146,7.435,87.600,0.248,1.620,0.140,3.353,0.290,11.57,134.530,27.848,0.008300,0.391,145.577,621.145,488.150,7937.456,748.105,527.642,1861.060,2609.165,8558.601,1.380,4.265,0.224,0.019,1.857,0.525,1.445,-0.538,-1.096,1.943,-0.408,3.00,-0.65,-1.71,0.27
1095,Man2_P_3 pool,Man2,Pioneer,0,3,15.00,Moderate,Fine,0.089461,30.516,54.983,14.501,7.524,174.200,1.708,2.730,0.260,5.324,0.507,10.50,188.042,36.668,0.006890,0.597,300.055,882.110,448.230,11030.217,1862.751,493.672,3140.384,5003.135,11912.327,1.300,3.512,0.355,0.034,2.445,0.726,1.564,-0.295,-1.048,2.241,-0.224,3.00,-0.45,-1.47,0.39
1104,Moos1_P_3 pool,Moos1,Pioneer,0,3,15.00,Moderate,Fine,0.103384,36.756,40.789,22.455,7.865,151.600,4.878,3.800,0.270,9.120,0.648,14.07,200.425,48.102,0.005270,0.647,296.665,447.634,199.022,3256.655,1782.617,113.171,1456.123,3238.740,3704.289,1.600,2.237,0.608,0.043,3.207,0.960,1.682,-0.188,-0.986,2.181,-0.189,3.00,-0.22,-1.36,0.51
1140,Schach1_P_3 pool,Schach1,Pioneer,0,3,15.00,Moderate,Fine,0.043220,27.071,43.729,29.200,7.025,44.600,0.000,1.170,0.070,1.931,0.116,16.71,112.758,18.605,0.009640,0.354,123.701,853.901,627.887,10421.329,1081.526,807.052,3670.790,4752.316,11275.230,1.100,2.839,0.129,0.008,1.240,0.286,1.270,-0.936,-1.364,1.649,-0.451,3.00,-0.89,-2.11,0.09
