,Unnamed: 0.2,SITE,SYSTEM,DEPT,Clay,Silt,Sand,pH,Aggregate Stability,Bulk Density,Organic Carbon,Dissolved Org. Carbon,Carbon-to-Nitrogen,Ergosterol,Microbial Carbon,Microbial Nitrogren,Microbial Phosphorus,Manosamine,Muramic Acid,Glucosamine,Sum Aminosugars,LAP,NAG,GLU,XYL,CEL,PHO,BoundingBox,LocationBBox,BoundingBoxObjects,BoundingBoxSize
0,0,Abs,0,5.0,2.7463263299186185,-0.1595584260658333,-1.2792084535433783,0.772227591992868,0.549152402686749,-0.2436470259056327,0.181778850966606,0.1395483945853686,-0.3448814305932072,0.4350190418457152,1.354084957210792,0.8887554068762458,-0.211905014517508,1.46490867206049,1.4803244312016783,0.5046091857880557,1.0954776701968112,0.6692253677144291,-0.0370326051738861,1.7426172711117405,3.135458682551781,2.6214800333620456,-0.2933081284688738,"15.969363,48.405107,15.972641,48.406845 ",Abs,"[BBox(((15.969363, 48.405107), (15.972641, 48.406845)), crs=CRS('4326'))]","(4, 3)"
1,1,Abs,1,5.0,1.7032895359860023,-0.3504194998065459,-0.602966594401058,0.8349776141997987,1.23160483272487,-1.0489210945767888,0.9059260418403476,1.4358192573494644,-0.5232124296739931,1.8898048965936407,1.7498127990901833,1.7453155093751105,-0.2026687510546722,2.219951740086864,2.9854418081664136,1.773790476055355,2.436230659930808,0.9471653893960812,1.288333392975056,1.1830339603275737,1.6389243338945247,1.525369659477259,-0.0395549613707758,"15.969363,48.405107,15.972641,48.406845 ",Abs,"[BBox(((15.969363, 48.405107), (15.972641, 48.406845)), crs=CRS('4326'))]","(4, 3)"
2,2,Abs,2,5.0,2.701785813417617,-0.1407305854065648,-1.2707590379756466,0.7980658364310158,0.4673636596650151,0.9952361566653776,-0.2143089244138024,-0.99371763938278,0.3334007088336634,-0.0746175068404401,-0.2693877373329732,-0.4745588864338712,-0.4210154252041665,1.2108092919552815,0.2933928089726458,-0.2268651297432796,0.0820785315054689,-0.147993625792485,-0.080408290636193,0.2971815205301527,1.1130897428681057,0.4201874915196473,-0.4917382698732818,"15.969363,48.405107,15.972641,48.406845 ",Abs,"[BBox(((15.969363, 48.405107), (15.972641, 48.406845)), crs=CRS('4326'))]","(4, 3)"
3,3,Au1,0,5.0,0.7133343394087337,-0.926327987127668,0.3377748142626013,0.6744113809055958,0.2571043898214714,0.2519062471227719,0.5830363344463323,0.6646810288147901,-0.47135570655902,-0.1822661828207282,0.6313876428476941,0.9825453373960968,-0.0439038166783945,1.320339629549882,1.1173989034559826,0.1317025875462407,0.6153942546419316,0.7626493025972759,0.7384117938593386,1.5183009822701403,2.199043058752589,1.2142165940808582,0.3667052618146841,"16.529000,47.930621,16.533941,47.932141",Au1,"[BBox(((16.529, 47.930621), (16.533941, 47.932141)), crs=CRS('4326'))]","(6, 3)"
4,4,Au1,1,5.0,-1.0755291571958143,-1.294091902999918,1.528177046167872,-0.4200228299387903,1.4790431592277562,-0.491423662419835,2.022688227081216,2.698258929231383,-0.5361816096544827,1.9487407697813248,0.952045965549681,0.9632459167700304,0.9291291861525788,0.9183496706703792,2.826600851475759,1.008892485063133,1.8700775972280248,1.3453534160990008,1.528671314078539,1.7896100443468714,1.955071721458592,1.8189567649892724,0.5342153185826878,"16.529000,47.930621,16.533941,47.932141",Au1,"[BBox(((16.529, 47.930621), (16.533941, 47.932141)), crs=CRS('4326'))]","(6, 3)"
5,5,Au1,2,5.0,0.1889900648340454,-1.1223018217873724,0.7534681462397547,1.0103085586015128,1.735642482655238,1.6146777479508834,0.8138513043310016,-0.4549421239817576,0.7711153675267668,-0.1174190009416497,-0.3787257848065449,-0.2857603258071073,-0.8296806280909209,0.7864472888153914,0.1101714184457183,-0.3711729397283834,-0.1525532896519235,-0.1101155893964816,0.1365053823292163,1.1629016809769372,1.4843846428473106,0.6792897646984842,-0.095271928624766,"16.529000,47.930621,16.533941,47.932141",Au1,"[BBox(((16.529, 47.930621), (16.533941, 47.932141)), crs=CRS('4326'))]","(6, 3)"
6,6,Au2,0,5.0,-0.8516259427535672,-1.4419413826342036,1.5259875627463162,-0.1967065744376585,0.9604453132286818,0.685515361022626,-0.0405843696717234,0.5240331758116105,-0.4829309487603586,0.2348021583223676,-0.2261212084218905,-0.472249648101913,0.5706840223870487,0.4649562189503066,0.530933812402119,-0.1674028416491238,0.1802956164499126,-0.4837400840768413,-0.0105014725936972,-0.0930470102618621,-0.0579552289292543,-0.1055768709082534,-0.6949338682275936,"16.569636,47.922123,16.574464,47.924409",Au2,"[BBox(((16.569636, 47.922123), (16.574464, 47.924409)), crs=CRS('4326'))]","(6, 4)"
7,7,Au2,1,5.0,-0.9359434929476612,-1.408537573185316,1.5436775935727514,-0.7965229631803663,1.5964123510844674,-0.6772561398054868,1.034136118150776,0.726192284964204,-0.5895810416019868,2.935692185281379,1.52293570933812,0.2445925238269472,0.0689095166754659,1.2503842740474649,2.71014977835554,1.7314714033216352,2.1409871193072,1.2982936731437416,0.9952155170283647,0.5909826976819808,0.7234323764617235,0.9302879633429424,0.8063759478323465,"16.569636,47.922123,16.574464,47.924409",Au2,"[BBox(((16.569636, 47.922123), (16.574464, 47.924409)), crs=CRS('4326'))]","(6, 4)"
8,8,Au2,2,5.0,-1.1537947415274012,-1.401032723610138,1.649051459333821,-1.106581896438135,-0.5625047683103374,1.800510225336535,-1.2159365800381905,0.4658734945164914,1.967979250027423,0.3018882823212911,-1.0297135080323816,-0.5511162777962909,-0.3435242634758105,0.2068263654782555,-0.5604946035673743,-0.8865049237900503,-0.7085819676696794,-0.7658156297262121,-0.6091756329503761,-0.8329625550393134,-0.6955781310741875,-0.6703216187101797,0.1516414047299375,"16.569636,47.922123,16.574464,47.924409",Au2,"[BBox(((16.569636, 47.922123), (16.574464, 47.924409)), crs=CRS('4326'))]","(6, 4)"
9,9,Burg1,0,5.0,-0.4011156517014685,-0.5893720702120153,0.65075649327535,-0.8906479964907607,-0.2971079614528769,0.0660737697371201,-0.0366380276111758,-0.0877278108282359,-0.2626783433446057,0.3052287142627867,-0.2258477903282569,0.3816944419593585,0.1718779035115394,0.7642841743759122,0.5357170148740036,-0.2271385627925928,0.2510116365217844,-0.604696707417426,-0.6650605743905778,-0.4187954535917159,-0.4305851840424487,-0.3931117628301039,-0.3536403347992915,"15.587282,48.669695,15.594256,48.672060",Burg1,"[BBox(((15.587282, 48.669695), (15.594256, 48.67206)), crs=CRS('4326'))]","(9, 4)"
